k,re,im
1.000000e+00,-1.000000e-01,0.000000e+00
2.000000e+00,-1.000000e+00,0.000000e+00
3.000000e+00,-2.245214e+01,0.000000e+00
4.000000e+00,-4.924325e-01,6.871057e+00
5.000000e+00,-4.924325e-01,-6.871057e+00
6.000000e+00,-1.241689e+00,4.007157e+00
7.000000e+00,-1.241689e+00,-4.007157e+00
8.000000e+00,-5.294047e-01,2.125104e+00
9.000000e+00,-5.294047e-01,-2.125104e+00
1.000000e+01,-1.704131e+00,1.436559e+00
1.100000e+01,-1.704131e+00,-1.436559e+00
1.200000e+01,-6.966043e-01,2.181999e-01
1.300000e+01,-6.966043e-01,-2.181999e-01
1.400000e+01,-6.663794e-02,0.000000e+00
1.500000e+01,-9.999777e+01,0.000000e+00
1.600000e+01,-9.999822e+01,0.000000e+00
1.700000e+01,-9.999895e+01,0.000000e+00
1.800000e+01,-9.999898e+01,0.000000e+00
1.900000e+01,-2.745992e+01,4.560745e+00
2.000000e+01,-2.745992e+01,-4.560745e+00
2.100000e+01,-3.719404e+01,0.000000e+00
2.200000e+01,-3.712062e+01,0.000000e+00
2.300000e+01,-3.612060e+01,0.000000e+00
2.400000e+01,-3.585726e+01,0.000000e+00
2.500000e+01,-3.490183e+01,0.000000e+00
2.600000e+01,-3.356173e+01,0.000000e+00
2.700000e+01,-2.990082e+01,0.000000e+00
2.800000e+01,-1.460814e+01,0.000000e+00
2.900000e+01,-1.445999e+01,0.000000e+00
3.000000e+01,-1.423808e+01,0.000000e+00
3.100000e+01,-1.424723e+01,0.000000e+00
3.200000e+01,-4.976235e-01,6.925256e+00
3.300000e+01,-4.976235e-01,-6.925256e+00
3.400000e+01,-4.917295e-01,6.866335e+00
3.500000e+01,-4.917295e-01,-6.866335e+00
3.600000e+01,-1.009661e+01,0.000000e+00
3.700000e+01,-1.007045e+01,0.000000e+00
3.800000e+01,-1.006989e+01,0.000000e+00
3.900000e+01,-1.011017e+01,0.000000e+00
4.000000e+01,-9.778195e-04,3.717664e+00
4.100000e+01,-9.778195e-04,-3.717664e+00
4.200000e+01,-4.481532e+00,0.000000e+00
4.300000e+01,-4.444533e+00,0.000000e+00
4.400000e+01,-3.525732e+00,0.000000e+00
4.500000e+01,-3.361752e+00,0.000000e+00
4.600000e+01,-7.298805e-01,1.819134e+00
4.700000e+01,-7.298805e-01,-1.819134e+00
4.800000e+01,-1.064519e+00,1.694783e+00
4.900000e+01,-1.064519e+00,-1.694783e+00
5.000000e+01,-2.781930e+00,0.000000e+00
5.100000e+01,-2.766480e+00,0.000000e+00
5.200000e+01,-1.909640e+00,0.000000e+00
5.300000e+01,-2.001264e+00,0.000000e+00
5.400000e+01,-2.000137e+00,0.000000e+00
5.500000e+01,-1.591331e+00,0.000000e+00
5.600000e+01,-2.491749e-01,6.450021e-01
5.700000e+01,-2.491749e-01,-6.450021e-01
5.800000e+01,6.338622e-06,0.000000e+00
5.900000e+01,-3.829645e-01,4.500633e-01
6.000000e+01,-3.829645e-01,-4.500633e-01
6.100000e+01,-3.734818e-01,4.511444e-01
6.200000e+01,-3.734818e-01,-4.511444e-01
6.300000e+01,-7.378778e-01,0.000000e+00
6.400000e+01,-5.752787e-01,0.000000e+00
6.500000e+01,-1.962083e-01,0.000000e+00
6.600000e+01,-1.986023e-01,0.000000e+00
6.700000e+01,-1.986294e-01,0.000000e+00
6.800000e+01,-2.000000e+01,0.000000e+00
6.900000e+01,-2.000000e+01,0.000000e+00
7.000000e+01,-2.000000e+01,0.000000e+00
7.100000e+01,-2.000000e+01,0.000000e+00
7.200000e+01,-2.000000e+01,0.000000e+00
7.300000e+01,-2.000000e+01,0.000000e+00
7.400000e+01,-2.000000e+01,0.000000e+00
7.500000e+01,-9.999777e+01,0.000000e+00
7.600000e+01,-9.999822e+01,0.000000e+00
7.700000e+01,-9.999895e+01,0.000000e+00
7.800000e+01,-9.999898e+01,0.000000e+00
7.900000e+01,-3.719403e+01,0.000000e+00
8.000000e+01,-3.712062e+01,0.000000e+00
8.100000e+01,-3.612061e+01,0.000000e+00
8.200000e+01,-3.585726e+01,0.000000e+00
8.300000e+01,-3.490181e+01,0.000000e+00
8.400000e+01,-3.356171e+01,0.000000e+00
8.500000e+01,-2.745949e+01,4.560598e+00
8.600000e+01,-2.745949e+01,-4.560598e+00
8.700000e+01,-2.990114e+01,0.000000e+00
8.800000e+01,-2.245214e+01,0.000000e+00
8.900000e+01,-1.460811e+01,0.000000e+00
9.000000e+01,-1.445991e+01,0.000000e+00
9.100000e+01,-1.423807e+01,0.000000e+00
9.200000e+01,-1.424723e+01,0.000000e+00
9.300000e+01,-1.011017e+01,0.000000e+00
9.400000e+01,-1.009662e+01,0.000000e+00
9.500000e+01,-1.006989e+01,0.000000e+00
9.600000e+01,-1.007045e+01,0.000000e+00
9.700000e+01,-4.976590e-01,6.925331e+00
9.800000e+01,-4.976590e-01,-6.925331e+00
9.900000e+01,-4.917153e-01,6.866396e+00
1.000000e+02,-4.917153e-01,-6.866396e+00
1.010000e+02,-4.924378e-01,6.871040e+00
1.020000e+02,-4.924378e-01,-6.871040e+00
1.030000e+02,-1.226286e+00,3.994956e+00
1.040000e+02,-1.226286e+00,-3.994956e+00
1.050000e+02,-2.102736e-02,3.718260e+00
1.060000e+02,-2.102736e-02,-3.718260e+00
1.070000e+02,-4.481430e+00,0.000000e+00
1.080000e+02,-4.444531e+00,0.000000e+00
1.090000e+02,-3.526058e+00,0.000000e+00
1.100000e+02,-3.361733e+00,0.000000e+00
1.110000e+02,-5.343721e-01,2.119803e+00
1.120000e+02,-5.343721e-01,-2.119803e+00
1.130000e+02,-2.782276e+00,0.000000e+00
1.140000e+02,-2.766264e+00,0.000000e+00
1.150000e+02,-7.339630e-01,1.836426e+00
1.160000e+02,-7.339630e-01,-1.836426e+00
1.170000e+02,-1.699856e+00,1.455412e+00
1.180000e+02,-1.699856e+00,-1.455412e+00
1.190000e+02,-1.053717e+00,1.671271e+00
1.200000e+02,-1.053717e+00,-1.671271e+00
1.210000e+02,-1.907524e+00,0.000000e+00
1.220000e+02,-2.001290e+00,0.000000e+00
1.230000e+02,-2.000075e+00,0.000000e+00
1.240000e+02,-1.591331e+00,0.000000e+00
1.250000e+02,-2.491751e-01,6.450018e-01
1.260000e+02,-2.491751e-01,-6.450018e-01
1.270000e+02,-9.863272e-01,0.000000e+00
1.280000e+02,-3.835447e-01,4.497875e-01
1.290000e+02,-3.835447e-01,-4.497875e-01
1.300000e+02,-3.732856e-01,4.520078e-01
1.310000e+02,-3.732856e-01,-4.520078e-01
1.320000e+02,-7.957696e-01,0.000000e+00
1.330000e+02,-6.779159e-01,2.087047e-01
1.340000e+02,-6.779159e-01,-2.087047e-01
1.350000e+02,-5.723328e-01,0.000000e+00
1.360000e+02,6.338632e-06,0.000000e+00
1.370000e+02,-9.958846e-02,0.000000e+00
1.380000e+02,-6.760626e-02,0.000000e+00
1.390000e+02,-1.962123e-01,0.000000e+00
1.400000e+02,-1.986030e-01,0.000000e+00
1.410000e+02,-1.986295e-01,0.000000e+00
1.420000e+02,-2.000000e+01,0.000000e+00
1.430000e+02,-2.000000e+01,0.000000e+00
1.440000e+02,-2.000000e+01,0.000000e+00
1.450000e+02,-2.000000e+01,0.000000e+00
1.460000e+02,-2.000000e+01,0.000000e+00
1.470000e+02,-2.000000e+01,0.000000e+00
1.480000e+02,-2.000000e+01,0.000000e+00
1.490000e+02,-9.999777e+01,0.000000e+00
1.500000e+02,-9.999822e+01,0.000000e+00
1.510000e+02,-9.999895e+01,0.000000e+00
1.520000e+02,-9.999898e+01,0.000000e+00
1.530000e+02,-3.719403e+01,0.000000e+00
1.540000e+02,-3.712062e+01,0.000000e+00
1.550000e+02,-3.612063e+01,0.000000e+00
1.560000e+02,-3.585726e+01,0.000000e+00
